Time,f,d,t,t2,rh,ps,sw_in,sw_out,lw_in,lw_out,HS,Ts,Albedo_acc,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
29-May-2018 15:00:00,12.165,186.3,3.5035,4.59533333333333,72.62,881.951866666667,906.416866666667,575.048816666667,291.626933333333,319.669572967945,0,NaN,0.662058643065819,0,0,0,0.625102788836817
29-May-2018 16:00:00,12.045,186.883333333333,3.2095,4.319,80.5233333333333,882.25645,814.924983333333,517.6581,290.370933333333,318.313251100699,0,NaN,0.661780292587262,0,0,0,0.625102788836817
29-May-2018 17:00:00,9.645,192,3.11733333333333,3.78133333333333,86.6166666666667,882.592283333333,559.5646,369.055116666667,334.25955,317.003314417698,0,NaN,0.661315653662899,0,0,0,0.625102788836817
29-May-2018 18:00:00,8.90833333333333,193.85,2.424,2.87883333333333,93.7,882.68525,303.262433333333,209.293316666667,346.490633333333,313.521529632599,0,NaN,0.660978376020569,0,0,0,0.625102788836817
29-May-2018 19:00:00,7.782,195.216666666667,2.33233333333333,2.50016666666667,95.7833333333333,882.561333333333,150.7186,104.685721666667,345.08975,313.123381509069,0,NaN,0.661295672753044,0,0,0,0.625102788836817
29-May-2018 20:00:00,7.44433333333333,196.85,2.61833333333333,2.68666666666667,95.7833333333333,882.5418,102.07639,70.1911683333333,344.16155,314.472990305836,0,NaN,0.661123276004415,0,0,0,0.625102788836817
29-May-2018 21:00:00,7.76883333333333,192.4,2.3335,2.42983333333333,96.2166666666667,882.680383333333,63.666825,42.4644416666667,343.682133333333,313.156955098614,0,NaN,0.660504796478697,8.58342685978641e-06,0,8.58342685978641e-06,0.625102788836817
29-May-2018 22:00:00,8.04783333333333,188.15,2.579,2.62483333333333,97.45,882.5215,10.8793443333333,7.01998333333333,341.177833333333,314.349361398012,0,NaN,0.660939556566569,3.69201229100327e-05,0,3.69201229100327e-05,0.625102788836817
29-May-2018 23:00:00,7.6815,195.866666666667,2.51116666666667,2.53716666666667,98.0333333333333,882.596233333333,4.76935683333333,2.59957831666667,343.75465,313.981888890616,0,NaN,0.658455733059078,2.9445565340211e-05,0,2.9445565340211e-05,0.625102788836817
30-May-2018 00:00:00,7.4125,197.866666666667,2.4415,2.46016666666667,98.0333333333333,882.3962,1.0605998,0.25622919,333.035616666667,313.872037249599,0,NaN,0.653156667912078,4.66124190797927e-05,0,4.66124190797927e-05,0.625102788836817
30-May-2018 01:00:00,7.31233333333333,191.85,2.591,2.63466666666667,98.1,882.147383333333,0.600351716666667,0.0501972166666667,343.16815,314.365469772581,0,NaN,0.647009358847789,6.60579844102358e-05,0,6.60579844102358e-05,0.625102788836817
30-May-2018 02:00:00,6.69133333333333,197.7,2.73133333333333,2.78166666666667,98.6,882.16555,1.36500938333333,0.460043066666667,346.5111,314.95304428558,0,NaN,0.642883079535522,7.26704034896102e-05,0,7.26704034896102e-05,0.625102788836817
30-May-2018 03:00:00,6.30866666666667,191.783333333333,3.01083333333333,3.05216666666667,99.1166666666667,881.829483333333,4.88619933333333,3.05077266666667,347.9165,316.231341236761,0,NaN,0.638535113714576,6.37792728002751e-05,0,6.37792728002751e-05,0.625102788836817
30-May-2018 04:00:00,5.29533333333333,203.566666666667,2.63216666666667,2.67466666666667,99.3333333333333,881.771,12.3811451666667,8.38084266666667,345.265766666667,314.515391436496,0,NaN,0.636414349056264,4.60579844198037e-05,0,4.60579844198037e-05,0.625102788836817
30-May-2018 05:00:00,4.79366666666667,220.25,2.7005,2.7555,99.4,881.808916666667,24.16829,17.33108,343.774766666667,314.863896479546,0,NaN,0.634511449163248,7.69201228999918e-05,0,7.69201228999918e-05,0.625102788836817
30-May-2018 06:00:00,5.3295,214.1,2.68216666666667,2.7665,99.4,882.123583333333,52.81854,38.8784383333333,342.58095,314.80224869738,0,NaN,0.631966441453109,8.66733920902334e-05,0,8.66733920902334e-05,0.625102788836817
30-May-2018 07:00:00,7.4785,188.483333333333,2.9935,3.20433333333333,99.1166666666667,881.941916666667,115.356026666667,81.2633783333333,345.74905,316.193557415095,0,NaN,0.630518966648556,1.71668537200276e-05,0,1.71668537200276e-05,0.625102788836817
30-May-2018 08:00:00,6.46883333333333,183.516666666667,2.8865,3.279,97.5166666666667,881.99045,253.152833333333,175.552283333333,347.72775,315.653482414393,0,NaN,0.631378108508914,0,0,0,0.625102788836817
30-May-2018 09:00:00,5.96233333333333,188.85,3.43366666666667,3.93116666666667,96.0166666666667,882.04905,392.3849,272.629216666667,353.320733333333,318.107166264307,0,NaN,0.633535724845587,0,0,0,0.625102788836817
30-May-2018 10:00:00,8.34133333333333,184.75,3.8145,4.28266666666667,94.2333333333333,881.776683333333,567.280433333333,369.704316666667,318.937433333333,320.589485509986,0,NaN,0.636034807957929,1.7166853730032e-05,0,1.7166853730032e-05,0.625102788836817
30-May-2018 11:00:00,8.06616666666667,190.65,4.179,4.5415,89.0666666666667,881.700816666667,751.6279,466.619416666667,295.111733333333,322.790630623491,0,NaN,0.63738775067036,8.58342685978641e-06,0,8.58342685978641e-06,0.625102788836817
30-May-2018 12:00:00,8.45333333333333,199.1,4.60216666666667,5.06933333333333,80.5433333333333,881.749316666667,845.537083333333,515.739166666667,280.39285,325.095768669033,0,NaN,0.637777589128132,0,0,0,0.625102788836817
30-May-2018 13:00:00,9.41666666666667,201.216666666667,4.443,4.81083333333333,82.3333333333333,881.6283,853.033666666667,518.566466666667,275.00485,324.446137416267,0,NaN,0.638146430961729,0,0,0,0.625102788836817
30-May-2018 14:00:00,7.229,173.653166666667,4.6795,5.34633333333333,79.04,881.833116666667,827.705216666667,498.908066666667,275.786783333333,325.556349364798,0,NaN,0.638484717132989,0,0,0,0.625102788836817
30-May-2018 15:00:00,4.906,218.283333333333,4.74533333333333,5.4835,80.6216666666667,882.226433333333,714.795466666667,436.93875,281.836316666667,325.74926815758,0,NaN,0.638865239639473,0,0,0,0.625102788836817
30-May-2018 16:00:00,5.47733333333333,221.983333333333,3.68366666666667,4.312,82.4983333333333,881.967616666667,663.77035,407.613983333333,271.732716666667,320.916200477087,0,NaN,0.638983301606874,0,0,0,0.625102788836817
30-May-2018 17:00:00,4.041,252.733333333333,2.83983333333333,3.6105,87.0333333333333,882.1874,546.85905,342.505966666667,270.2009,316.985914571396,0,NaN,0.639265088415173,0,0,0,0.625102788836817
