Time,HS,HS_mod,HS_nor,HS_obs,lw_out,f,sw_in,lw_in,d,t,sw_out,rh,ps,Ts,Albedo_acc,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
28-May-2017 07:00:00,97.15,NaN,NaN,NaN,310.961514840779,4.40916666666667,223.205383333333,328.858866666667,4.80516666666667,1.79566666666667,157.933083333333,89.75,871.678733333333,NaN,0.664065345211246,0,0,0,0.710480778637208
28-May-2017 08:00:00,97.1666666666667,NaN,NaN,NaN,312.977656296024,4.25766666666667,312.5257,327.530316666667,4.80816666666667,2.22533333333333,217.619633333333,87.3,871.858766666667,NaN,0.666410843079841,0,0,0,0.710873068382746
28-May-2017 09:00:00,97.7833333333333,NaN,NaN,NaN,313.947372465637,3.42583333333333,392.680266666667,336.558683333333,4.3455,2.47283333333333,282.716416666667,87.65,871.995016666667,NaN,0.666612260973767,0,0,0,0.711265358128284
28-May-2017 10:00:00,99,NaN,NaN,NaN,319.213904418273,4.28133333333333,632.250916666667,312.4495,4.9625,3.49516666666667,431.197866666667,79.3833333333333,872.134283333333,NaN,0.666570392944207,0,0,0,0.711657647873821
28-May-2017 11:00:00,99.25,NaN,NaN,NaN,319.869472875072,6.094,835.18035,287.044833333333,4.909,3.5265,549.798216666667,77.925,872.19615,NaN,0.666584435736954,0,0,0,0.712049937619359
28-May-2017 12:00:00,98.95,NaN,NaN,NaN,316.018337371122,8.72216666666667,821.788883333333,279.405533333333,5.14266666666667,2.672,543.299216666667,82.8,872.211983333333,NaN,0.66643267987924,0,0,0,0.712442227364897
28-May-2017 13:00:00,97.45,NaN,NaN,NaN,318.44768877575,7.52533333333333,846.784166666667,284.39185,4.68,3.21266666666667,553.56335,81.0133333333333,872.3793,NaN,0.666466595175428,0,0,0,0.712834517110434
28-May-2017 14:00:00,99.05,NaN,NaN,NaN,319.18971223409,6.2695,876.578233333333,280.273266666667,4.69583333333333,3.35316666666667,548.015133333333,79.33,872.694733333333,NaN,0.666635092670774,0,0,0,0.713226806855972
28-May-2017 15:00:00,99.4166666666667,NaN,NaN,NaN,317.299360447455,8.2335,684.338266666667,267.459716666667,4.63033333333333,2.89516666666667,435.2292,82.3666666666667,872.4687,NaN,0.667035389217239,0,0,0,0.713619096601509
28-May-2017 16:00:00,99.2333333333333,NaN,NaN,NaN,314.606541733021,7.749,463.480766666667,292.201266666667,4.47933333333333,2.42383333333333,322.0787,83.8166666666667,872.515583333333,NaN,0.667617877924914,0,0,0,0.714011386347047
28-May-2017 17:00:00,99.0666666666667,NaN,NaN,NaN,312.154385453889,7.95533333333333,355.8705,293.86785,4.40416666666667,1.90233333333333,250.67595,82.3333333333333,872.67555,NaN,0.669664250200994,0,0,0,0.714403676092585
28-May-2017 18:00:00,99.5833333333334,NaN,NaN,NaN,329.3435,8.10116666666667,274.1183,288.937283333333,4.57916666666667,1.6005,187.7403,82.6666666666667,872.778866666667,0,0.671658537776195,0,0,0,0.714795965838122
28-May-2017 19:00:00,99.8,NaN,NaN,NaN,327.040633333333,6.98583333333333,218.253133333333,262.1596,6.1965,1.15866666666667,140.691618333333,84.4,873.185816666667,0,0.672402379711727,0,0,0,0.71518825558366
28-May-2017 20:00:00,99.8166666666667,NaN,NaN,NaN,324.925166666667,6.42983333333333,186.885516666667,253.603466666667,6.812,0.872,117.34095,84.0166666666667,873.32195,0,0.67257990524492,0,0,0,0.715580545329198
28-May-2017 21:00:00,99.75,NaN,NaN,NaN,321.8278,5.653,88.082925,246.863766666667,6.23383333333333,0.184333333333333,56.910155,84.3166666666667,873.758416666667,0,0.672953318922462,0,0,0,0.715972835074735
28-May-2017 22:00:00,99.7833333333333,NaN,NaN,NaN,318.634116666667,4.66266666666667,14.2635033333333,252.414966666667,5.21616666666667,-0.426833333333333,11.8065835,85.3833333333333,873.834933333333,0,0.672374032351218,0,0,0,0.716365124820273
28-May-2017 23:00:00,99.7666666666667,NaN,NaN,NaN,320.48635,4.12683333333333,7.0207505,277.2214,5.2285,-0.4255,5.26621766666667,87.5833333333333,873.864066666667,0,0.672625119841856,0,0,0,0.716757414565811
29-May-2017 00:00:00,99.6666666666667,NaN,NaN,NaN,322.75405,4.848,0.163756215,292.8882,4.26433333333333,-0.205,1.1110111,89.3833333333333,873.992933333333,0,0.675643252525202,0,0,0,0.717149704311348
29-May-2017 01:00:00,99.6,NaN,NaN,NaN,313.221166666667,2.90483333333333,0,245.392016666667,6.1985,-1.73183333333333,1.466444,90.3,873.759833333333,-0.279161432569017,0.678840984914906,0,0,0,0.717072236709655
29-May-2017 02:00:00,99.7,NaN,NaN,NaN,307.296966666667,2.45483333333333,0.685723516666667,242.824266666667,3.7315,-3.03233333333333,3.14366133333333,87.5166666666667,873.503683333333,-1.38393629440281,0.682171832526084,0,0,0,0.716994769107962
29-May-2017 03:00:00,99.8666666666667,NaN,NaN,NaN,302.291216666667,2.33916666666667,9.56909483333333,234.259666666667,5.25933333333333,-3.716,11.2498885,84.1833333333333,873.4504,-2.4658364052274,0.685234645753745,0,0,0,0.71691730150627
29-May-2017 04:00:00,99.75,NaN,NaN,NaN,304.449516666667,2.27766666666667,67.1343166666667,244.5791,4.113,-3.16833333333333,61.721965,83.0833333333333,873.32525,-2.04323205850295,0.685409884890315,0,0,0,0.716839833904577
29-May-2017 05:00:00,99.6833333333333,NaN,NaN,NaN,312.498416666667,2.01383333333333,161.945566666667,264.200183333333,6.81166666666667,-2.0345,124.6254,85.1166666666667,873.050866666667,-0.508257846195099,0.682510912174642,0,0,0,0.716762366302884
29-May-2017 06:00:00,99.7,NaN,NaN,NaN,321.436516666667,1.569,202.749,280.212783333333,5.27166666666667,0.00950000000000003,145.8605,82.325,872.88725,0,0.680232250212242,0,0,0,0.716684898701191
