Time,f,HS,HS_mod,HS_nor,HS_obs,lw_out,ps,d,sw_in,lw_in,t,t2,RN,sw_out,rh,Ts,Albedo_acc,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
26-Sep-2016 19:00:00,6.46733333333333,3.62815,3.62815,2.74815,NaN,279.994546631017,862.335633333333,228.383333333333,0.909560083333333,278.11078595153,-5.40533333333333,-5.442,NaN,552.257490625,90.9833333333333,NaN,0.872539563705702,0,0,0,0.872539563705702
26-Sep-2016 20:00:00,4.99366666666667,3.63427,3.63427,2.75427,NaN,274.235732433539,862.208116666667,224.25,0,253.387174008898,-6.88333333333333,-6.88,NaN,552.485172916667,91.0666666666667,NaN,0.872747897039036,0,0,0,0.872747897039036
26-Sep-2016 21:00:00,5.64483333333333,3.64039,3.64039,2.76039,NaN,271.658222071214,861.766466666667,201.366666666667,0,262.995038071035,-7.45366666666667,-7.467,NaN,0,90.4833333333333,NaN,0.872956230372369,0,0,0,0.872956230372369
26-Sep-2016 22:00:00,3.72033333333333,3.64632333333333,3.64632333333333,2.76632333333333,NaN,264.49753276964,861.848366666667,199.783333333333,0,227.236112585671,-9.36333333333333,-9.39666666666667,NaN,0,89.5833333333334,NaN,0.873164563705702,0,0,0,0.873164563705702
26-Sep-2016 23:00:00,4.2535,3.65933333333333,3.65933333333333,2.77933333333333,NaN,258.873737587657,861.72355,193.133333333333,0,249.219729712232,-10.6433333333333,-10.6883333333333,NaN,0,88.2666666666667,NaN,0.873372897039036,0,0,0,0.873372897039036
27-Sep-2016 00:00:00,3.16733333333333,3.64316666666667,3.64316666666667,2.76316666666667,NaN,262.046696158221,861.586733333333,205.2,0,243.343198611549,-9.88666666666667,-9.895,NaN,0,81.705,NaN,0.873581230372369,0,0,0,0.873581230372369
27-Sep-2016 01:00:00,6.37583333333333,3.65433333333333,3.65433333333333,2.77433333333333,NaN,264.544330265833,861.176566666667,193.266666666667,0,218.098035614263,-9.39666666666667,-9.43333333333333,NaN,0,89.3166666666667,NaN,0.873449647439227,0,0,0,0.873449647439227
27-Sep-2016 02:00:00,4.448,3.65466666666667,3.65466666666667,2.77466666666667,NaN,259.397027105658,860.810616666667,194.233333333333,0,302.641377858281,-10.2483333333333,-10.29,NaN,0,88.5333333333333,NaN,0.873318064506085,0,0,0,0.873318064506085
27-Sep-2016 03:00:00,4.47933333333333,3.6685,3.6685,2.7885,NaN,252.053693838903,860.465533333333,194.033333333333,0,283.349883589232,-12.1833333333333,-12.22,NaN,0,87.8,NaN,0.873186481572943,0,0,0,0.873186481572943
27-Sep-2016 04:00:00,4.46166666666667,3.66633333333333,3.66633333333333,2.78633333333333,NaN,251.953714643047,859.912233333333,195.416666666667,0,250.205536390621,-12.3766666666667,-12.4366666666667,NaN,0,87.15,NaN,0.873054898639801,0,0,0,0.873054898639801
27-Sep-2016 05:00:00,3.651,3.67033333333333,3.67033333333333,2.79033333333333,NaN,250.64225870057,859.578783333333,203.45,0,236.47616222988,-12.78,-12.8466666666667,NaN,0,89.1,NaN,0.872923315706659,0,0,0,0.872923315706659
27-Sep-2016 06:00:00,2.66216666666667,3.65333333333333,3.65333333333333,2.77333333333333,NaN,256.156908041586,859.51605,212.566666666667,0.638395166666667,262.859887138439,-11.2533333333333,-11.3533333333333,NaN,0.557186023709239,92.4333333333333,NaN,0.872791732773517,0,0,0,0.872791732773517
27-Sep-2016 07:00:00,1.40183333333333,3.63416666666667,3.63416666666667,2.75416666666667,NaN,275.538095009004,859.391133333333,248.966666666667,10.2459518333333,286.464948489884,-6.4165,-6.49666666666667,NaN,8.94123386213391,96.3,NaN,0.872660149840375,0,0,0,0.872660149840375
27-Sep-2016 08:00:00,2.12616666666667,3.62333333333333,3.62333333333333,2.74333333333333,NaN,284.984805534927,859.01695,307.35,53.1778733333333,292.77681759627,-4.17533333333333,-4.07733333333333,NaN,46.3992136107077,96.15,NaN,0.872528566907233,0,0,0,0.872528566907233
27-Sep-2016 09:00:00,2.78516666666667,3.6111164021164,3.6111164021164,2.7311164021164,NaN,290.774504006214,859.142866666667,331.4,126.8566,294.702300525534,-2.83783333333333,-2.541,NaN,110.669315237208,95.7333333333333,NaN,0.872396983974091,0,0,0,0.872396983974091
27-Sep-2016 10:00:00,3.5485,3.60844708994709,3.60844708994709,2.72844708994709,NaN,291.782106392468,859.3042,334.816666666667,206.43965,296.082188289203,-2.60233333333333,-2.06283333333333,NaN,180.070164098003,94.7666666666667,NaN,0.872265401040949,2.91378615097528e-05,0,2.91378615097528e-05,0.872265401040949
27-Sep-2016 11:00:00,4.34033333333333,3.60784391534391,3.60784391534391,2.72784391534391,NaN,293.27916487774,859.494383333333,331.75,272.961866666667,297.484556222139,-2.2565,-1.58333333333333,NaN,556.1411,93.9333333333333,NaN,0.872133818107807,0,0,0,0.872133818107807
