Time,f,HS,HS_mod,HS_nor,HS_obs,lw_out,d,sw_in,lw_in,t,t2,sw_out,rh,Ts,Albedo_acc,ps,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
25-Sep-2005 04:00:00,5.54533333333333,4.259,NaN,NaN,NaN,312.837556015168,287.283333333333,0,287.156756290934,-7.97666666666667,NaN,0.450361944157187,85.35,-0.43509691448232,0.741098720172952,912.085539200837,3.19310059790041e-05,3.16382340263033e-05,2.92771952700835e-07,0.84893888061296
25-Sep-2005 05:00:00,5.42283333333333,4.26066666666667,NaN,NaN,NaN,311.941313340227,277.483333333333,0,283.623491899345,-8.25333333333333,NaN,0.337814546708032,82.1666666666667,-0.613099689962524,0.74693003786088,911.775866264472,1.00000000000193e-05,1.00000000000051e-05,1.42115187890327e-17,0.84893888061296
25-Sep-2005 06:00:00,6.023,4.905,NaN,NaN,NaN,306.684505342985,267.45,0.0449844881075492,243.930282661151,-9.30833333333333,NaN,1.18252326783868,79.0833333333333,-1.52997042193714,0.745967557212169,911.411342408295,8.06899402098793e-06,0,8.06899402098793e-06,0.84893888061296
25-Sep-2005 07:00:00,6.3595,4.2715,5.8472,3.7472,NaN,305.443553946915,270.033333333333,32.5227507755947,241.637969665632,-9.46833333333333,NaN,27.8007583591865,78.0166666666667,-1.79665786329608,0.745765858942849,910.767597903978,2.92771953013471e-07,8.36176597380245e-06,0,0.84893888061296
25-Sep-2005 08:00:00,7.50916666666667,4.26525,5.84225,3.74225,NaN,303.065063771114,284.266666666667,169.183040330921,239.069889693209,-8.3,NaN,126.266804550155,77.5833333333333,-2.32137117157818,0.745784446438047,910.070537045499,0,0,0,0.84893888061296
25-Sep-2005 09:00:00,6.8275,4.25266666666667,5.835,3.735,NaN,304.960961737332,279.916666666667,261.599448466046,247.049896587384,-7.311,NaN,193.243709065839,77.9166666666667,-1.94291875155434,0.745871748009214,909.42157062073,1.93100597897455e-06,9.99999999999091e-06,0,0.84893888061296
25-Sep-2005 10:00:00,7.99416666666667,4.255,NaN,NaN,NaN,305.805498104102,284.683333333333,316.321957945536,240.793433298862,-6.88133333333333,NaN,229.593243709066,76.55,-1.70830232563929,0.745852754254209,909.151628701851,0,0,0,0.84893888061296
25-Sep-2005 11:00:00,9.41333333333333,4.25416666666667,NaN,NaN,NaN,308.321871768356,281.2,471.802826611513,241.465615305067,-6.2325,NaN,334.229576008273,77.2,-1.14247414856765,0.745761735250871,908.998097723403,0,0,0,0.84893888061296
25-Sep-2005 12:00:00,10.3916666666667,4.4585,NaN,NaN,NaN,310.183298862461,281.716666666667,450.293002412961,257.011978628059,-5.659,NaN,326.749396759738,78.65,-0.827912503279795,0.745746575097794,908.472666600594,1.00000000000193e-05,9.99999999990564e-06,1.13687068114578e-16,0.84893888061296
25-Sep-2005 13:00:00,10.8266666666667,4.88116666666667,NaN,NaN,NaN,310.958893485005,289.916666666667,382.488796966563,268.697604274388,-5.45166666666667,NaN,285.591175456739,80.9,-0.732272659098527,0.745720145802555,907.180064078563,1.80689940209788e-05,3.56924000550407e-06,1.44997540154748e-05,0.84893888061296
25-Sep-2005 14:00:00,9.97,5.51033333333333,NaN,NaN,NaN,311.665546363323,289.916666666667,286.056532230265,278.004739744915,-5.583,NaN,220.234401930369,83.8,-0.636357632992182,0.745697493400652,906.204337019149,1.19310059790223e-05,2.80689940207992e-05,0,0.84893888061296
25-Sep-2005 15:00:00,10.0783333333333,5.51966666666667,NaN,NaN,NaN,310.321182350913,288.016666666667,315.529127886935,266.905118924509,-5.652,NaN,234.298517752499,85.25,-0.863685152160637,0.745651077829458,905.085389695112,3.02927719529862e-05,2.22237779319983e-05,8.06899402098793e-06,0.84893888061296
