Time,HS,HS_mod,HS_nor,HS_obs,lw_out,f,d,sw_in,lw_in,t,sw_out,rh,ps,Ts,Albedo_acc,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
24-Jun-2019 22:00:00,193.9,NaN,NaN,NaN,316.621333333333,3.0455,196.066666666667,13.8743295,291.756733333333,4.72983333333333,2.00985116666667,75.9733333333333,935.537383333333,-0.017480660932885,0.0839900870171789,0,0,0,0.124164748026672
24-Jun-2019 23:00:00,194.083333333333,NaN,NaN,NaN,313.6588,4.23666666666667,171.116666666667,3.06640166666667,286.140883333333,2.18316666666667,0.7051529,85.0333333333333,935.411766666667,-0.333271289691112,0.0831830356036509,0,0,0,0.124176549968452
25-Jun-2019 00:00:00,194,NaN,NaN,NaN,314.343066666667,4.28983333333333,178.1,0.379964933333333,291.572183333333,2.25383333333333,0.539393283333333,85.4666666666667,935.0258,-0.17339140626792,0.0819434813968193,0,0,0,0.124188351910233
25-Jun-2019 01:00:00,194.1,NaN,NaN,NaN,315.294516666667,4.39916666666667,168.433333333333,0.973773583333334,308.607466666667,2.25866666666667,0.470042566666667,85.8,935.088416666667,-0.047562658569395,0.0803429414863043,0,0,0,0.124076580091612
25-Jun-2019 02:00:00,193.766666666667,NaN,NaN,NaN,314.8314,4.04416666666667,168,1.31936813333333,306.615033333333,2.157,0.426968345,86.1333333333333,934.896483333333,-0.137478175140558,0.0787617136165468,0,0,0,0.123964808272991
25-Jun-2019 03:00:00,193.266666666667,NaN,NaN,NaN,315.1706,3.29416666666667,171.85,5.00680483333333,316.6507,2.0205,0.542526983333333,87.2333333333333,934.418766666667,-0.131355876953933,0.0781931128242275,0,0,0,0.123853036454371
25-Jun-2019 04:00:00,194.35,NaN,NaN,NaN,314.94735,3.0505,186.733333333333,25.5405658333333,313.810183333333,2.42083333333333,1.62432765,86.8,934.356066666667,-0.162739684652176,0.0779238512740615,0,0,0,0.12374126463575
25-Jun-2019 05:00:00,195.483333333333,NaN,NaN,NaN,313.810683333333,3.08116666666667,175.233333333333,66.3103716666667,302.5276,2.35716666666667,4.365815,87.7333333333333,934.179,-0.320339079802001,0.0779828869484882,0,0,0,0.123629492817129
25-Jun-2019 06:00:00,195.65,NaN,NaN,NaN,314.376983333333,3.904,186.266666666667,131.961891666667,306.406433333333,3.70683333333333,9.38019166666667,80.8666666666667,934.190533333333,-0.27908756065807,0.0796112783238992,0,0,0,0.123517720998508
25-Jun-2019 07:00:00,194.9,NaN,NaN,NaN,310.353516666667,3.1175,194.75,183.951083333333,310.765266666667,3.743,11.551807,79.7266666666667,934.263416666667,-1.15695199095042,0.0785397297168355,0,0,0,0.123405949179887
25-Jun-2019 08:00:00,192.183333333333,NaN,NaN,NaN,309.623716666667,3.24333333333333,186.683333333333,220.74795,316.80865,3.52333333333333,14.2099116666667,79.6816666666667,934.12865,-1.36137621373366,0.0785423324717456,0,0,0,0.123294177361267
