Time,f,HS,HS_mod,HS_nor,HS_obs,lw_out,d,sw_out,lw_in,t,sw_in,rh,Ts,Albedo_acc,ps,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
17-Jun-2010 10:00:00,6.485,0.751,2.259,1.619,NaN,324.377940597899,278.183333333333,44.7621509824199,292.206739055498,4.501,612.961047914512,71.3166666666667,NaN,0.102943980923496,925.575411466402,0,0,0,0.117108691578348
17-Jun-2010 11:00:00,3.96616666666667,0.745666666666667,2.26433333333333,1.62433333333333,NaN,325.09468968046,281.1,44.7604274388142,291.482850741124,4.6485,631.368493622889,71.85,NaN,0.101261127628611,925.797523279721,0,0,0,0.117086584924452
17-Jun-2010 12:00:00,3.98533333333333,0.74,2.27,1.63,NaN,327.152161360196,289.65,57.4164081351258,289.259479489831,5.07,766.287487073423,69.6416666666667,NaN,0.100720181789476,926.816077968431,0,0,0,0.117064478270555
17-Jun-2010 13:00:00,2.66666666666667,0.734833333333333,2.27516666666667,1.63516666666667,NaN,333.908943719074,306.966666666667,74.8776284039986,284.571440882454,6.45166666666667,793.691830403309,61.32,NaN,0.100655048607309,926.966126924519,0,0,0,0.117042371616658
17-Jun-2010 14:00:00,1.58266666666667,0.726666666666667,2.28333333333333,1.64333333333333,NaN,333.97549558358,223.416666666667,68.1851085832471,278.814805239573,6.44166666666667,749.965529127887,64.8483333333333,NaN,0.100651072604621,927.415154768976,0,0,0,0.117020264962762
17-Jun-2010 15:00:00,3.13,0.713666666666667,2.29633333333333,1.65633333333333,NaN,323.835546180623,189.333333333333,69.0313684936229,284.74379524302,4.3555,663.977938641848,76.635,NaN,0.10077420906671,928.276653016154,0,0,0,0.116998158308865
17-Jun-2010 16:00:00,4.712,0.7055,2.3045,1.6645,NaN,320.198595078052,192.433333333333,65.7032057911065,291.586263357463,3.61566666666667,577.904170975526,79.4833333333333,NaN,0.101088761150642,928.887591602573,0,0,0,0.116976051654968
17-Jun-2010 17:00:00,3.40666666666667,0.701333333333333,2.30866666666667,1.66866666666667,NaN,321.238042320195,189.85,53.0972078593589,289.225008617718,3.826,429.989658738366,77.15,NaN,0.101631655336521,929.421389254837,0,0,0,0.116953945001072
17-Jun-2010 18:00:00,4.93233333333333,0.697433333333333,2.31256666666667,1.67256666666667,NaN,318.416925632846,186.333333333333,38.7935194760428,297.153309203723,3.2605,279.558772836953,80.3833333333333,NaN,0.102777500578073,929.986070821069,0,0,0,0.116931838347175
17-Jun-2010 19:00:00,5.30683333333333,0.693616666666667,2.31638333333333,1.67638333333333,NaN,318.038329325994,191.933333333333,27.3250603240262,301.34152016546,3.19766666666667,188.107549120993,81.5833333333333,NaN,0.104507590216988,929.849838228986,0,0,0,0.116909731693278
