Time,f,HS,HS_mod,HS_nor,HS_obs,lw_out,d,sw_in,lw_in,t,sw_out,rh,Ts,Albedo_acc,ps,TotalPrecipmweq,Snowfallmweq,Rainfallmweq,R_median_filter_albe_GFD
08-Aug-2010 00:00:00,5.97766666666667,2.59633333333333,3.50933333333333,2.71933333333333,NaN,315.487121967431,73.3583333333333,0,315.935776005317,-0.220333333333333,0,100,-0.0396584484922187,0.63727345670121,842.326081857357,0.000241367313530191,2.88716752397704e-05,0.00021249563829042,0.540186416568721
08-Aug-2010 01:00:00,5.79283333333333,2.58483333333333,3.49783333333333,2.70783333333333,NaN,315.603439680957,57.49,0,315.852691924227,-0.263166666666667,0,100,-0.0193487587076694,0.677584743450394,842.293530385646,0.000274284613210057,4.74739584201416e-05,0.000226810654789915,0.540820524110072
08-Aug-2010 02:00:00,5.0665,2.59533333333333,3.50833333333333,2.71833333333333,NaN,316.118560983716,63.135,0,314.972000664673,-0.402333333333333,0,100,0,0.715831098184046,842.385801654992,0.000509603434999917,0.000163870348520049,0.000345733086479868,0.541454631651424
08-Aug-2010 03:00:00,3.97433333333333,2.59375,3.50675,2.71675,NaN,316.052093718844,43.3566666666667,0,315.769607843137,-0.438166666666667,0,100,0,0.744421122903425,842.352180259724,0.00111670914190972,0.000491956854129967,0.000624752287779757,0.542088739192775
08-Aug-2010 04:00:00,6.54666666666667,2.59616666666667,3.50916666666667,2.71916666666667,NaN,315.786224659355,56.3,1.78796942505816,316.018860086407,-0.369,0.827683615819209,100,0,0.757156251104961,842.43347014216,0.000242007610559995,5.45336521499848e-05,0.00018747395841001,0.542722846734127
08-Aug-2010 05:00:00,6.3645,2.59883333333333,3.51183333333333,2.72183333333333,NaN,315.935776005317,25.345,9.93585908939847,316.018860086407,-0.489833333333333,5.47507477567298,100,0,0.769882662714842,842.652181369718,0.000179824724100399,1.64701531298306e-05,0.000163354570970569,0.543356954275478
08-Aug-2010 06:00:00,6.2395,2.593,3.506,2.716,NaN,316.101944167498,17.3116666666667,24.4915254237288,315.653290129611,-0.532666666666667,16.8328348288468,100,0,0.788005874508726,842.707137146786,0.000512592407899774,0.000274505902300007,0.000238086505599767,0.54399106181683
08-Aug-2010 07:00:00,5.74233333333333,2.583,3.496,2.706,NaN,316.50074775673,34.37,49.1359255566634,315.686523762047,-0.424833333333333,41.5088069125956,100,0,0.797965146986431,842.84581930767,0.000994907210560086,0.000484907210559868,0.000510000000000218,0.544625169358181
08-Aug-2010 08:00:00,7.1505,2.57866666666667,3.49166666666667,2.70166666666667,NaN,316.284729145895,23.1966666666667,115.71950814224,315.586822864739,-0.510333333333333,103.738783649053,100,-0.0506527659021476,0.80280380582912,843.300303136376,0.000414792994060008,0.000104947916830042,0.000309845077229966,0.545259276899532
08-Aug-2010 09:00:00,8.56666666666667,2.56958333333333,3.48258333333333,2.69258333333333,NaN,316.218261881024,25.65,199.717514124294,314.955383848455,-0.544,179.827185111333,100,-0.0355788601771963,0.804400090740334,843.188147897003,0.000583361967670044,0.000261593345880101,0.000321768621789943,0.545893384440884
